,player_name,event,event_type,event_date,score
130,gideon,HXB,PVP-S,2020-06-28,1.0
131,operasm,HXB,PVP-S,2020-06-28,0.8929
132,d3r3lict,HXB,PVP-S,2020-06-28,1.0
133,nyarlathotep,HXB,PVP-S,2020-06-28,1.0
134,zw2007,HXB,PVP-S,2020-06-28,1.0
135,yaanchy,HXB,PVP-S,2020-06-28,0.9286
136,marsdeon,HXB,PVP-S,2020-06-28,0.9286
137,tāotiè,HXB,PVP-S,2020-06-28,1.0
138,matthew,HXB,PVP-S,2020-06-28,1.0
139,shahper,HXB,PVP-S,2020-06-28,1.0
140,europachaos,ROTGP,PVE-L,2020-06-23,1.0
141,twister,ROTGP,PVE-L,2020-06-23,0.9041
142,doktorjadran,ROTGP,PVE-L,2020-06-23,1.0
143,valdahsor,ROTGP,PVE-L,2020-06-23,0.9863
144,matthew,ROTGP,PVE-L,2020-06-23,1.0
145,fartingsnail,ROTGP,PVE-L,2020-06-23,1.0
146,mooninja,ROTGP,PVE-L,2020-06-23,0.9863
147,shrek,ROTGP,PVE-L,2020-06-23,0.9692
148,zohair,ROTGP,PVE-L,2020-06-23,0.8596
149,johnthebarn,ROTGP,PVE-L,2020-06-23,0.8322
150,omi77,ROTGP,PVE-L,2020-06-23,0.8699
151,analconda,ROTGP,PVE-L,2020-06-23,0.7774
152,arrowny,ROTGP,PVE-L,2020-06-23,1.0
153,edhmage,ROTGP,PVE-L,2020-06-23,0.8973
154,paleale,ROTGP,PVE-L,2020-06-23,0.976
155,arklight,ROTGP,PVE-L,2020-06-23,0.9452
156,mister20,ROTGP,PVE-L,2020-06-23,0.9384
157,yogsoth,ROTGP,PVE-L,2020-06-23,0.9418
158,abyssian,ROTGP,PVE-L,2020-06-23,0.9452
159,alfredseet,ROTGP,PVE-L,2020-06-23,1.0
160,chronomor,ROTGP,PVE-L,2020-06-23,0.411
161,torbar,ROTGP,PVE-L,2020-06-23,0.9315
162,marshall,ROTGP,PVE-L,2020-06-23,0.9966
163,vesticles,ROTGP,PVE-L,2020-06-23,0.1884
164,magesty,ROTGP,PVE-L,2020-06-23,0.8082
165,morlock,ROTGP,PVE-L,2020-06-23,0.9486
166,shahper,ROTGP,PVE-L,2020-06-23,0.4349
167,bihotz,ROTGP,PVE-L,2020-06-23,0.7158
168,fatman,ROTGP,PVE-L,2020-06-23,0.8116
169,skeletor,ROTGP,PVE-L,2020-06-23,0.5137
170,pinkyellow1203,ROTGP,PVE-L,2020-06-23,0.9658
171,jimmysnuka,ROTGP,PVE-L,2020-06-23,0.8219
172,oibaf2000,ROTGP,PVE-L,2020-06-23,0.3288
173,tamiyo,ROTGP,PVE-L,2020-06-23,0.5719
174,javiele,ROTGP,PVE-L,2020-06-23,0.0
175,digger,ROTGP,PVE-L,2020-06-23,0.5582
176,janjers,ROTGP,PVE-L,2020-06-23,0.6884
177,telanthar,ROTGP,PVE-L,2020-06-23,0.5753
178,mistercawck,ROTGP,PVE-L,2020-06-23,0.8356
179,guest,ROTGP,PVE-L,2020-06-23,0.8493
180,schmara,ROTGP,PVE-L,2020-06-23,0.0514
181,decadentia,ROTGP,PVE-L,2020-06-23,0.0
182,jeffrey27,ROTGP,PVE-L,2020-06-23,0.0
183,multani,ROTGP,PVE-L,2020-06-23,0.0
184,muirthemne,ROTGP,PVE-L,2020-06-23,0.0
185,quiddajj,ROTGP,PVE-L,2020-06-23,0.0
186,kelsigrammar,ROTGP,PVE-L,2020-06-23,0.274
187,patricio,ROTGP,PVE-L,2020-06-23,0.0
188,ralpha,ROTGP,PVE-L,2020-06-23,0.024
189,skills,ROTGP,PVE-L,2020-06-23,0.0
200,khaalis,ROTGP,PVE-L,2020-06-23,0.9281
201,niigin,ROTGP,PVE-L,2020-06-23,0.8288
202,rylenor,ROTGP,PVE-L,2020-06-23,0.7808
203,bridgerbill,ROTGP,PVE-L,2020-06-23,0.6301
204,powernic,ROTGP,PVE-L,2020-06-23,0.5034
205,burrito,ROTGP,PVE-L,2020-06-23,0.476
206,nycfcbert,ROTGP,PVE-L,2020-06-23,0.4384
207,hueytw,ROTGP,PVE-L,2020-06-23,0.4281
208,huanchoo,ROTGP,PVE-L,2020-06-23,0.3836
209,krizzb,ROTGP,PVE-L,2020-06-23,0.3699
210,caddam,ROTGP,PVE-L,2020-06-23,0.0959
211,fanciest,ROTGP,PVE-L,2020-06-23,0.363
212,donthateme,ROTGP,PVE-L,2020-06-23,0.25
213,dediilus,ROTGP,PVE-L,2020-06-23,0.2089
214,vizzerdrix,ROTGP,PVE-L,2020-06-23,0.0993
215,pinkmafia,ROTGP,PVE-L,2020-06-23,0.0548
216,pancho,ROTGP,PVE-L,2020-06-23,0.0308
217,sparky,ROTGP,PVE-L,2020-06-23,0.0103
218,aztaren,ROTGP,PVE-L,2020-06-23,0.0
219,imwithstupid,ROTGP,PVE-L,2020-06-23,0.0
220,lumiere,ROTGP,PVE-L,2020-06-23,0.0
222,taidachan,ROTGP,PVE-L,2020-06-23,0.0
223,psylun,ROTGP,PVE-L,2020-06-23,0.0
240,serenity,ROTGP,PVE-L,2020-06-23,0.4144
241,thabombs,ROTGP,PVE-L,2020-06-23,0.0
242,emissary,ROTGP,PVE-L,2020-06-23,0.4452
243,cmikaitis,ROTGP,PVE-L,2020-06-23,0.0
244,greywolf,ROTGP,PVE-L,2020-06-23,0.0959
245,mongkokkid,ROTGP,PVE-L,2020-06-23,0.024
246,rooster,ROTGP,PVE-L,2020-06-23,0.0
247,hburger,ROTGP,PVE-L,2020-06-23,0.0
248,jayariel,ROTGP,PVE-L,2020-06-23,0.0103
249,gofreo,ROTGP,PVE-L,2020-06-23,0.0
250,mucephei,ROTGP,PVE-L,2020-06-23,0.0
251,hobogoblin,ROTGP,PVE-L,2020-06-23,0.0
252,timothy,ROTGP,PVE-L,2020-06-23,0.0
253,metrognomy,ROTGP,PVE-L,2020-06-23,0.9534
254,lantore,ROTGP,PVE-L,2020-06-23,0.4041
260,madwren,ROTGP,PVE-L,2020-06-23,1.0
261,zariath,ROTGP,PVE-L,2020-06-23,0.9452
262,nickolas,ROTGP,PVE-L,2020-06-23,1.0
263,magicninja1,ROTGP,PVE-L,2020-06-23,0.9418
264,larz70,ROTGP,PVE-L,2020-06-23,1.0
265,ggbond,ROTGP,PVE-L,2020-06-23,0.9966
266,demonious,ROTGP,PVE-L,2020-06-23,1.0
267,themorbo,ROTGP,PVE-L,2020-06-23,0.9932
268,magegaga,ROTGP,PVE-L,2020-06-23,0.9281
269,shteev,ROTGP,PVE-L,2020-06-23,0.9726
270,lucian,ROTGP,PVE-L,2020-06-23,0.9897
271,gideon,ROTGP,PVE-L,2020-06-23,1.0
272,operasm,ROTGP,PVE-L,2020-06-23,0.9966
273,d3r3lict,ROTGP,PVE-L,2020-06-23,0.9726
274,nyarlathotep,ROTGP,PVE-L,2020-06-23,0.9589
275,zw2007,ROTGP,PVE-L,2020-06-23,1.0
276,yaanchy,ROTGP,PVE-L,2020-06-23,0.9897
277,marsdeon,ROTGP,PVE-L,2020-06-23,1.0
